"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Lane County, OR"	"41039"	40	332327	12.0
	"Marion County, OR"	"41047"	25	297139	8.4
	"Multnomah County, OR"	"41051"	107	672526	15.9
	"Washington County, OR"	"41067"	32	480207	6.7
	"Adams County, PA"	"42001"	10	97300	10.3 (Unreliable)
	"Allegheny County, PA"	"42003"	201	1247531	16.1
	"Beaver County, PA"	"42007"	19	176395	10.8 (Unreliable)
	"Berks County, PA"	"42011"	29	390848	7.4
	"Blair County, PA"	"42013"	14	127194	11.0 (Unreliable)
	"Bucks County, PA"	"42017"	66	613763	10.8
	"Butler County, PA"	"42019"	12	178912	6.7 (Unreliable)
	"Cambria County, PA"	"42021"	34	147886	23.0
	"Centre County, PA"	"42027"	14	144238	9.7 (Unreliable)
	"Chester County, PA"	"42029"	33	462902	7.1
	"Clearfield County, PA"	"42033"	14	82040	17.1 (Unreliable)
	"Cumberland County, PA"	"42041"	14	221225	6.3 (Unreliable)
	"Dauphin County, PA"	"42043"	23	256194	9.0
	"Delaware County, PA"	"42045"	75	551508	13.6
	"Erie County, PA"	"42049"	42	277864	15.1
	"Fayette County, PA"	"42051"	21	143494	14.6
	"Lackawanna County, PA"	"42069"	33	211861	15.6
	"Lancaster County, PA"	"42071"	40	489977	8.2
	"Lawrence County, PA"	"42073"	19	93250	20.4 (Unreliable)
	"Lehigh County, PA"	"42077"	43	326138	13.2
	"Luzerne County, PA"	"42079"	53	315439	16.8
	"Mercer County, PA"	"42085"	17	119113	14.3 (Unreliable)
	"Mifflin County, PA"	"42087"	11	46313	23.8 (Unreliable)
	"Monroe County, PA"	"42089"	15	158181	9.5 (Unreliable)
	"Montgomery County, PA"	"42091"	80	776493	10.3
	"Northampton County, PA"	"42095"	22	281374	7.8
	"Northumberland County, PA"	"42097"	11	93692	11.7 (Unreliable)
	"Philadelphia County, PA"	"42101"	324	1492882	21.7
	"Schuylkill County, PA"	"42107"	24	147081	16.3
	"Venango County, PA"	"42121"	14	56196	24.9 (Unreliable)
	"Washington County, PA"	"42125"	31	204090	15.2
	"Wayne County, PA"	"42127"	11	49423	22.3 (Unreliable)
	"Westmoreland County, PA"	"42129"	35	367281	9.5
	"York County, PA"	"42133"	40	401403	10.0
	"Kent County, RI"	"44003"	20	170539	11.7
	"Newport County, RI"	"44005"	12	85509	14.0 (Unreliable)
	"Providence County, RI"	"44007"	62	638358	9.7
	"Aiken County, SC"	"45003"	16	148746	10.8 (Unreliable)
	"Anderson County, SC"	"45007"	20	173539	11.5
	"Berkeley County, SC"	"45015"	11	151789	7.2 (Unreliable)
	"Charleston County, SC"	"45019"	33	328105	10.1
	"Greenville County, SC"	"45045"	36	399319	9.0
	"Horry County, SC"	"45051"	32	219094	14.6
	"Lexington County, SC"	"45063"	16	230832	6.9 (Unreliable)
	"Oconee County, SC"	"45073"	12	69615	17.2 (Unreliable)
	"Pickens County, SC"	"45077"	17	113554	15.0 (Unreliable)
	"Richland County, SC"	"45079"	23	345750	6.7
	"Spartanburg County, SC"	"45083"	41	261828	15.7
	"York County, SC"	"45091"	11	181839	6.0 (Unreliable)
	"Pennington County, SD"	"46103"	11	92560	11.9 (Unreliable)
	"Blount County, TN"	"47009"	14	113151	12.4 (Unreliable)
	"Bradley County, TN"	"47011"	11	91814	12.0 (Unreliable)
	"Campbell County, TN"	"47013"	11	40371	27.2 (Unreliable)
	"Davidson County, TN"	"47037"	92	583013	15.8
	"Greene County, TN"	"47059"	19	65364	29.1 (Unreliable)
	"Hamilton County, TN"	"47065"	34	315396	10.8
	"Hawkins County, TN"	"47073"	11	55029	20.0 (Unreliable)
	"Knox County, TN"	"47093"	94	398307	23.6
	"Madison County, TN"	"47113"	12	94692	12.7 (Unreliable)
	"Montgomery County, TN"	"47125"	14	143761	9.7 (Unreliable)
	"Putnam County, TN"	"47141"	11	65851	16.7 (Unreliable)
	"Roane County, TN"	"47145"	12	53115	22.6 (Unreliable)
	"Rutherford County, TN"	"47149"	15	211714	7.1 (Unreliable)
	"Sevier County, TN"	"47155"	13	78610	16.5 (Unreliable)
	"Shelby County, TN"	"47157"	68	909643	7.5
	"Sullivan County, TN"	"47163"	27	152808	17.7
